"SegmentName","KPI","size_treatment","size_control","mean_treatment","mean_control","rel_effect","confidence_interval","pValue","Significant"
"co_All Star","rides_surge",4343,4699,2.26939903292655,2.07256863162375,0.0949693044174814,"(0.042 ; 0.352)",0.013,"YES"
"co_Major Contributor - Low Margin","Utilisation_weighted",900,949,0.481131604295245,0.518392314124504,-0.0718774349349442,"(-0.111 ; 0.036)",0.32,"NO"
"co_Major Contributor - Low Margin","AccR",900,949,0.0723957128102089,0.0622470620281734,0.163038229457997,"(0.001 ; 0.019)",0.033,"YES"
"co_Major Contributor - Low Margin","RejR",900,949,0.4736283645353,0.518513113861001,-0.0865643474115349,"(-0.134 ; 0.044)",0.323,"NO"
"co_Major Contributor - Low Margin","IngoreR",900,949,0.453975922654491,0.419239824110826,0.0828549592523502,"(-0.046 ; 0.115)",0.397,"NO"
"co_Major Contributor - Low Margin","PassCanc_perAccepted",900,949,0.0749200904342403,0.0761115886535907,-0.0156546229086522,"(-0.015 ; 0.012)",0.863,"NO"
"co_Major Contributor - Low Margin","driver_earning",900,949,86695.6777777778,84832.3551106428,0.0219647640891822,"(-11299.659 ; 15026.305)",0.781,"NO"
"co_Major Contributor - Low Margin","supply_hours",900,949,467.183333333333,419.638566912539,0.11329932510875,"(-3.512 ; 98.601)",0.068,"NO"
"co_Major Contributor - Low Margin","utilisation",900,949,0.896949445684791,0.839514663864022,0.0684142687352416,"(-0.027 ; 0.142)",0.18,"NO"
"co_Major Contributor - Low Margin","rides",900,949,9.68666666666667,9.34878819810327,0.0361414186955216,"(-1.077 ; 1.753)",0.64,"NO"
"co_Major Contributor - Low Margin","time_to_accept",900,949,13.6535740662872,10.5289197205863,0.296768750130322,"(1.581 ; 4.668)",0,"YES"
"co_Major Contributor - Low Margin","time_to_reject",900,949,16.6250372709546,10.2320694031906,0.624797156455021,"(3.617 ; 9.169)",0,"YES"
"co_Major Contributor - Low Margin","accepted",900,949,14.2522222222222,13.4847207586934,0.0569163779705313,"(-1.15 ; 2.685)",0.432,"NO"
"co_Major Contributor - Low Margin","rejected",900,949,93.2411111111111,112.326659641728,-0.169911119866748,"(-37.706 ; -0.465)",0.045,"YES"
"co_Major Contributor - Low Margin","ignored",900,949,89.3722222222222,90.8208640674394,-0.0159505402210389,"(-18.104 ; 15.206)",0.865,"NO"
"co_Major Contributor - Low Margin","broadcasts",900,949,196.865555555556,216.632244467861,-0.0912453682085074,"(-48.992 ; 9.459)",0.185,"NO"
"co_Major Contributor - Low Margin","drac_score_avg",900,949,56.604622724447,52.7954258030052,0.0721501316355522,"(-8.469 ; 16.088)",0.543,"NO"
"co_Major Contributor - Low Margin","driver_aborts",900,949,1.44444444444444,1.31401475237092,0.099260447295732,"(-0.112 ; 0.373)",0.292,"NO"
"co_Major Contributor - Low Margin","pax_can",900,949,1.06777777777778,1.0263435194942,0.0403707506274242,"(-0.145 ; 0.228)",0.664,"NO"
"co_Major Contributor - Low Margin","rides_surge",900,949,1.75222222222222,1.79030558482613,-0.0212719900595121,"(-0.393 ; 0.317)",0.833,"NO"
"co_Medium Contributor - High Margin","Utilisation_weighted",1979,2228,0.355460170886229,0.387324162738689,-0.0822669869784422,"(-0.068 ; 0.004)",0.08,"NO"
"co_Medium Contributor - High Margin","AccR",1979,2228,0.0818379895875889,0.0787811685465827,0.0388014178692808,"(-0.005 ; 0.011)",0.447,"NO"
"co_Medium Contributor - High Margin","RejR",1979,2228,0.325691629217603,0.318137153138191,0.0237459724678244,"(-0.051 ; 0.066)",0.801,"NO"
"co_Medium Contributor - High Margin","IngoreR",1979,2228,0.592470381194808,0.603081678315226,-0.0175951243454478,"(-0.113 ; 0.092)",0.839,"NO"
"co_Medium Contributor - High Margin","PassCanc_perAccepted",1979,2228,0.084544,0.0849680857293436,-0.0049911178497588,"(-0.012 ; 0.011)",0.944,"NO"
"co_Medium Contributor - High Margin","driver_earning",1979,2228,49456.1611925215,46891.8101436266,0.0546865442182859,"(-2459.951 ; 7588.653)",0.317,"NO"
"co_Medium Contributor - High Margin","supply_hours",1979,2228,438.755432036382,389.550718132855,0.126311444474725,"(18.358 ; 80.051)",0.002,"YES"
"co_Medium Contributor - High Margin","utilisation",1979,2228,0.729911289691762,0.705153658787604,0.0351095546277461,"(-0.024 ; 0.073)",0.318,"NO"
